Media_type,Sample,Week,Date Inoculated,weight_g,Total_Weightat3weeks
ME,TX1-2,1,9-May,3.229,19.799
ME,CAN2,1,9-May,0.594,2.733
ME,BS9_240_002N_4,1,9-May,0.559,5.73
ME,BS 9 C 040N-2,1,9-May,0.232,7.276
ME,BS11C 643 S-6,1,9-May,4.082,16.745
ME,BS11 240 698 S-6,1,9-May,3.176,16.076
ME,TX1-2,2,9-May,7.363,19.799
ME,CAN2,2,9-May,1.215,2.733
ME,BS9_240_002N_4,2,9-May,2.229,5.73
ME,BS 9 C 040N-2,2,9-May,3.269,7.276
ME,BS11C 643 S-6,2,9-May,5.64,16.745
ME,BS11 240 698 S-6,2,9-May,6.092,16.076
ME,TX1-2,3,9-May,9.207,19.799
ME,CAN2,3,9-May,0.924,2.733
ME,BS9_240_002N_4,3,9-May,2.942,5.73
ME,BS 9 C 040N-2,3,9-May,3.775,7.276
ME,BS11C 643 S-6,3,9-May,7.023,16.745
ME,BS11 240 698 S-6,3,9-May,6.808,16.076
SD,TX1-2,1,9-May,3.787,19.589
SD,CAN2,1,9-May,0.205,2.757
SD,BS9_240_002N_4,1,9-May,0.499,9.409
SD,BS 9 C 040N-2,1,9-May,0.337,7.848
SD,BS11C 643 S-6,1,9-May,4.661,16.485
SD,BS11 240 698 S-6,1,9-May,4.059,18.124
SD,TX1-2,2,9-May,7.279,19.589
SD,CAN2,2,9-May,1.136,2.757
SD,BS9_240_002N_4,2,9-May,3.293,9.409
SD,BS 9 C 040N-2,2,9-May,3.105,7.848
SD,BS11C 643 S-6,2,9-May,6.817,16.485
SD,BS11 240 698 S-6,2,9-May,7.189,18.124
SD,TX1-2,3,9-May,8.523,19.589
SD,CAN2,3,9-May,1.416,2.757
SD,BS9_240_002N_4,3,9-May,5.617,9.409
SD,BS 9 C 040N-2,3,9-May,4.406,7.848
SD,BS11C 643 S-6,3,9-May,5.007,16.485
SD,BS11 240 698 S-6,3,9-May,6.876,18.124
YEPD,TX1-2,1,9-May,3.493,15.863
YEPD,CAN2,1,9-May,0.305,2.347
YEPD,BS9_240_002N_4,1,9-May,0.311,2.427
YEPD,BS 9 C 040N-2,1,9-May,0.256,11.215
YEPD,BS11C 643 S-6,1,9-May,4.854,14.1449
YEPD,BS11 240 698 S-6,1,9-May,1.518,14.106
YEPD,TX1-2,2,9-May,5.624,15.863
YEPD,CAN2,2,9-May,1.108,2.347
YEPD,BS9_240_002N_4,2,9-May,1.423,2.427
YEPD,BS 9 C 040N-2,2,9-May,4.052,11.215
YEPD,BS11C 643 S-6,2,9-May,4.6449,14.1449
YEPD,BS11 240 698 S-6,2,9-May,6.062,14.106
YEPD,TX1-2,3,9-May,6.746,15.863
YEPD,CAN2,3,9-May,0.934,2.347
YEPD,BS9_240_002N_4,3,9-May,0.693,2.427
YEPD,BS 9 C 040N-2,3,9-May,6.907,11.215
YEPD,BS11C 643 S-6,3,9-May,4.646,14.1449
YEPD,BS11 240 698 S-6,3,9-May,6.526,14.106
PD,TX1-2,1,14-May,0.171,1.683
PD,CAN2,1,14-May,0.717,1.603
PD,BS9_240_002N_4,1,14-May,0.236,1.913
PD,BS 9 C 040N-2,1,14-May,1.564,4.032
PD,BS11C 643 S-6,1,14-May,0.829,2.583
PD,BS11 240 698 S-6,1,14-May,1.421,3.995
PD,TX1-2,2,14-May,0.726,1.683
PD,CAN2,2,14-May,0.152,1.603
PD,BS9_240_002N_4,2,14-May,0.675,1.913
PD,BS 9 C 040N-2,2,14-May,1.166,4.032
PD,BS11C 643 S-6,2,14-May,0.807,2.583
PD,BS11 240 698 S-6,2,14-May,1.467,3.995
PD,TX1-2,3,14-May,0.786,1.683
PD,CAN2,3,14-May,0.734,1.603
PD,BS9_240_002N_4,3,14-May,1.002,1.913
PD,BS 9 C 040N-2,3,14-May,1.302,4.032
PD,BS11C 643 S-6,3,14-May,0.947,2.583
PD,BS11 240 698 S-6,3,14-May,1.107,3.995